id,dates,hour,psi
245,2017-12-11,5,11
246,2017-12-11,6,12
247,2017-12-11,7,13
248,2017-12-11,8,13
249,2017-12-11,9,14
250,2017-12-11,10,15
251,2017-12-11,11,18
252,2017-12-11,12,21
253,2017-12-11,13,24
254,2017-12-11,14,26
255,2017-12-11,15,28
256,2017-12-11,16,31
257,2017-12-11,17,32
258,2017-12-11,18,31
259,2017-12-11,19,29
260,2017-12-11,20,26
261,2017-12-11,21,22
262,2017-12-11,22,18
263,2017-12-11,23,15
264,2017-12-12,0,11
265,2017-12-12,1,9
266,2017-12-12,2,7
267,2017-12-12,3,7
268,2017-12-12,4,7
269,2017-12-12,5,8
270,2017-12-12,6,9
271,2017-12-12,7,10
272,2017-12-12,8,10
273,2017-12-12,9,11
274,2017-12-12,10,13
275,2017-12-12,11,15
276,2017-12-12,12,17
277,2017-12-12,13,21
278,2017-12-12,14,23
279,2017-12-12,15,23
280,2017-12-12,16,23
281,2017-12-12,17,23
282,2017-12-12,18,23
283,2017-12-12,19,21
284,2017-12-12,20,17
285,2017-12-12,21,12
286,2017-12-12,22,9
287,2017-12-12,23,7
288,2017-12-13,0,7
289,2017-12-13,1,6
290,2017-12-13,2,5
291,2017-12-13,3,4
292,2017-12-13,4,5
293,2017-12-13,5,6
294,2017-12-13,6,7
295,2017-12-13,7,8
296,2017-12-13,8,8
297,2017-12-13,9,8
298,2017-12-13,10,9
299,2017-12-13,11,12
300,2017-12-13,12,15
301,2017-12-13,13,19
302,2017-12-13,14,24
303,2017-12-13,15,29
304,2017-12-13,16,33
305,2017-12-13,17,35
306,2017-12-13,18,35
307,2017-12-13,19,33
308,2017-12-13,20,29
309,2017-12-13,21,24
310,2017-12-13,22,19
311,2017-12-13,23,13
312,2017-12-14,0,8
313,2017-12-14,1,6
314,2017-12-14,2,5
315,2017-12-14,3,4
316,2017-12-14,4,4
317,2017-12-14,5,6
318,2017-12-14,6,7
319,2017-12-14,7,7
320,2017-12-14,8,7
321,2017-12-14,9,8
322,2017-12-14,10,10
323,2017-12-14,11,12
324,2017-12-14,12,15
325,2017-12-14,13,19
326,2017-12-14,14,24
327,2017-12-14,15,30
328,2017-12-14,16,35
329,2017-12-14,17,40
330,2017-12-14,18,42
331,2017-12-14,19,43
332,2017-12-14,20,40
333,2017-12-14,21,35
334,2017-12-14,22,29
335,2017-12-14,23,22
336,2017-12-15,0,17
337,2017-12-15,1,12
338,2017-12-15,2,9
339,2017-12-15,3,6
340,2017-12-15,4,5
341,2017-12-15,5,6
342,2017-12-15,6,7
343,2017-12-15,7,7
344,2017-12-15,8,7
