,timestamp,available_taxis
0,2017-12-08T00:00:00,4922
1,2017-12-08T01:00:00,4732
2,2017-12-08T02:00:00,4994
3,2017-12-08T03:00:00,3372
4,2017-12-08T04:00:00,3188
5,2017-12-08T05:00:00,2994
6,2017-12-08T06:00:00,3174
7,2017-12-08T07:00:00,3892
8,2017-12-08T08:00:00,3473
9,2017-12-08T09:00:00,3566
10,2017-12-08T10:00:00,4098
11,2017-12-08T11:00:00,4167
12,2017-12-08T12:00:00,3336
13,2017-12-08T13:00:00,2926
14,2017-12-08T14:00:00,2244
15,2017-12-08T15:00:00,3001
16,2017-12-08T16:00:00,3376
17,2017-12-08T17:00:00,2854
18,2017-12-08T18:00:00,2562
19,2017-12-08T19:00:00,3055
20,2017-12-08T20:00:00,4305
21,2017-12-08T21:00:00,4736
22,2017-12-08T22:00:00,4158
