,timestamp,available_taxis
0,2017-12-10T00:00:00,3613
1,2017-12-10T01:00:00,4042
2,2017-12-10T02:00:00,3120
3,2017-12-10T03:00:00,0
4,2017-12-10T04:00:00,1503
5,2017-12-10T05:00:00,1486
6,2017-12-10T06:00:00,2628
7,2017-12-10T07:00:00,2237
8,2017-12-10T08:00:00,2660
9,2017-12-10T09:00:00,2079
10,2017-12-10T10:00:00,2760
11,2017-12-10T11:00:00,2684
12,2017-12-10T12:00:00,1393
13,2017-12-10T13:00:00,2727
14,2017-12-10T14:00:00,2736
15,2017-12-10T15:00:00,3152
16,2017-12-10T16:00:00,3095
17,2017-12-10T17:00:00,2327
18,2017-12-10T18:00:00,2258
19,2017-12-10T19:00:00,2394
20,2017-12-10T20:00:00,2398
21,2017-12-10T21:00:00,2722
22,2017-12-10T22:00:00,2860
