,timestamp,available_taxis
0,2017-12-07T00:00:00,4916
1,2017-12-07T01:00:00,5054
2,2017-12-07T02:00:00,3665
3,2017-12-07T03:00:00,4009
4,2017-12-07T04:00:00,3589
5,2017-12-07T05:00:00,3064
6,2017-12-07T06:00:00,3038
7,2017-12-07T07:00:00,3863
8,2017-12-07T08:00:00,3162
9,2017-12-07T09:00:00,3419
10,2017-12-07T10:00:00,3793
11,2017-12-07T11:00:00,4284
12,2017-12-07T12:00:00,3511
13,2017-12-07T13:00:00,4126
14,2017-12-07T14:00:00,3747
15,2017-12-07T15:00:00,4260
16,2017-12-07T16:00:00,3369
17,2017-12-07T17:00:00,39
18,2017-12-07T18:00:00,2615
19,2017-12-07T19:00:00,3164
20,2017-12-07T20:00:00,4415
21,2017-12-07T21:00:00,4289
22,2017-12-07T22:00:00,4671
