,timestamp,available_taxis
0,2017-12-04T00:00:00,3946
1,2017-12-04T01:00:00,3966
2,2017-12-04T02:00:00,3686
3,2017-12-04T03:00:00,3277
4,2017-12-04T04:00:00,2736
5,2017-12-04T05:00:00,2828
6,2017-12-04T06:00:00,2900
7,2017-12-04T07:00:00,3436
8,2017-12-04T08:00:00,2938
9,2017-12-04T09:00:00,3840
10,2017-12-04T10:00:00,4508
11,2017-12-04T11:00:00,4672
12,2017-12-04T12:00:00,4168
13,2017-12-04T13:00:00,4583
14,2017-12-04T14:00:00,4254
15,2017-12-04T15:00:00,729
16,2017-12-04T16:00:00,3692
17,2017-12-04T17:00:00,3284
18,2017-12-04T18:00:00,3280
19,2017-12-04T19:00:00,3937
20,2017-12-04T20:00:00,4268
21,2017-12-04T21:00:00,4746
22,2017-12-04T22:00:00,4419
