,timestamp,available_taxis
0,2017-12-05T00:00:00,5024
1,2017-12-05T01:00:00,4625
2,2017-12-05T02:00:00,3882
3,2017-12-05T03:00:00,3127
4,2017-12-05T04:00:00,3168
5,2017-12-05T05:00:00,2887
6,2017-12-05T06:00:00,2942
7,2017-12-05T07:00:00,1741
8,2017-12-05T08:00:00,3667
9,2017-12-05T09:00:00,3889
10,2017-12-05T10:00:00,4391
11,2017-12-05T11:00:00,4315
12,2017-12-05T12:00:00,3245
13,2017-12-05T13:00:00,3842
14,2017-12-05T14:00:00,3373
15,2017-12-05T15:00:00,1709
16,2017-12-05T16:00:00,3993
17,2017-12-05T17:00:00,4274
18,2017-12-05T18:00:00,3903
19,2017-12-05T19:00:00,4724
20,2017-12-05T20:00:00,5143
21,2017-12-05T21:00:00,5008
22,2017-12-05T22:00:00,4633
