,timestamp,available_taxis
0,2017-12-06T00:00:00,3863
1,2017-12-06T01:00:00,4875
2,2017-12-06T02:00:00,4556
3,2017-12-06T03:00:00,3198
4,2017-12-06T04:00:00,3465
5,2017-12-06T05:00:00,3153
6,2017-12-06T06:00:00,3368
7,2017-12-06T07:00:00,4375
8,2017-12-06T08:00:00,3734
9,2017-12-06T09:00:00,3601
10,2017-12-06T10:00:00,3713
11,2017-12-06T11:00:00,3897
12,2017-12-06T12:00:00,3453
13,2017-12-06T13:00:00,3812
14,2017-12-06T14:00:00,4092
15,2017-12-06T15:00:00,4491
16,2017-12-06T16:00:00,4467
17,2017-12-06T17:00:00,4067
18,2017-12-06T18:00:00,3553
19,2017-12-06T19:00:00,3593
20,2017-12-06T20:00:00,4299
21,2017-12-06T21:00:00,4393
22,2017-12-06T22:00:00,4032
